goos: linux
goarch: amd64
pkg: github.com/marselester/systemd
cpu: Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz
BenchmarkEncodeHeader-2      	 6352378	       185.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 5777786	       188.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6316956	       187.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6511310	       188.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6227629	       189.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 5715789	       190.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6375330	       189.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6377754	       185.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6449653	       188.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6445830	       186.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6426415	       186.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6336651	       192.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6333811	       199.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6344022	       186.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6268932	       184.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 5875118	       189.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6305632	       186.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6355275	       189.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6283800	       185.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6305769	       186.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5400326	       224.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5375401	       217.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5440618	       223.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5439007	       218.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5482126	       219.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5396199	       223.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5485711	       223.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5465977	       223.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5395761	       222.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5367307	       222.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5365690	       223.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5487993	       223.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5287276	       222.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5486978	       221.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5498822	       218.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5440063	       217.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5383216	       223.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5509538	       218.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5349421	       222.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5382624	       222.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5513794	       217.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5476959	       222.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5373750	       222.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5384374	       217.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5178460	       222.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5458237	       219.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5049643	       223.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5370253	       222.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5497681	       222.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5397475	       218.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5141000	       218.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 4964877	       222.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5504997	       222.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5305226	       217.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5249149	       223.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5335586	       219.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5504884	       218.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHello-2       	 5439770	       219.8 ns/op	       0 B/op	       0 allocs/op
